,objectid,sheet_code,cd_no,sheet_name,sheet_namt,edition,year,map250k,hotmap50k,hotmap250k,sheet_id,sheet_no,shape_length,shape_area,extent,geometry,zone,url
0,1,4849-I,1,Ban Reso Hua Maekom,บ้านรีซอหัวแม่คํา,2-RTSD,2519,NF47-15,4849i.img,NF47-15.img,1,48491,107500.136906337,721644211.646875,"99.24676192160197,20.251113708133058,99.49673484957722,20.50109675926909",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48491&bbox=99.24676192160197,20.251113708133058,99.49673484957722,20.50109675926909"
1,2,4949-IV,1,Ban Pang Nun,บ้านปางหนุน,2-RTSD,2519,NF47-15,4949iv.img,NF47-15.img,2,49494,107503.754823063,721692786.141855,"99.49672958569965,20.25111833824789,99.7467026271508,20.501101490733706",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49494&bbox=99.49672958569965,20.25111833824789,99.7467026271508,20.501101490733706"
2,3,4949-I,1,Amphoe Mae Sai,อําเภอแม่สาย,3-RTSD,2519,NF47-15,4949i.img,NF47-15.img,3,49491,107509.182044121,721765655.634681,"99.74669731189219,20.251123014635404,99.99667046790233,20.501106268255676",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49491&bbox=99.74669731189219,20.251123014635404,99.99667046790233,20.501106268255676"
3,4,5049-IV,1,Amphoe Chiang Saen,อําเภอเชียงแสน,1-RTSD,2508,NF47-15,5049iv.img,NF47-15.img,4,50494,107516.419044644,721862830.231949,"99.99666510011441,20.251127736998434,100.24663837162652,20.50111109224413",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50494&bbox=99.99666510011441,20.251127736998434,100.24663837162652,20.50111109224413"
4,5,5049-I,1,Amphoe Chiang Khong,อําเภอเชียงของ,1-RTSD,2508,NF47-15,5049i.img,NF47-15.img,5,50491,107525.466557477,721984324.564268,"100.24663295265113,20.25113250548534,100.49660634024612,20.501115963360924",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50491&bbox=100.24663295265113,20.25113250548534,100.49660634024612,20.501115963360924"
5,6,4849-III,1,Doi Phahompok,ดอยผ้าห่มปก,2-RTSD,2521,NF47-15,4849iii.img,NF47-15.img,6,48493,107580.331801748,722755399.061364,"98.99679947935594,20.00113073040592,99.24677226783218,20.251113708133058",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48493&bbox=98.99679947935594,20.00113073040592,99.24677226783218,20.251113708133058"
6,7,4849-II,1,Amphoe Mae Ai,อําเภอแม่อาย,4-RTSD,2529,NF47-15,4849ii.img,NF47-15.img,7,48492,107582.147816469,722779800.219489,"99.24676713388226,20.00113526051906,99.49674003511326,20.25111833824789",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48492&bbox=99.24676713388226,20.00113526051906,99.49674003511326,20.25111833824789"
7,8,4949-III,1,Ban Huai Mahin Pon,บ้านห้วยมะหินปน,3-RTSD,2519,NF47-15,4949iii.img,NF47-15.img,8,49493,107585.780102715,722828607.149377,"99.49673484957722,20.001139836773525,99.74670786361736,20.251123014635404",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49493&bbox=99.49673484957722,20.001139836773525,99.74670786361736,20.251123014635404"
8,9,4949-II,1,Amphoe Mae Chan,อําเภอแม่จัน,2-RTSD,2521,NF47-15,4949ii.img,NF47-15.img,9,49492,107591.229275356,722901830.704599,"99.7467026271508,20.00114445780164,99.99667575530785,20.251127736998434",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49492&bbox=99.7467026271508,20.00114445780164,99.99667575530785,20.251127736998434"
9,10,5049-III,1,Ban Pong Noi,บ้านปงน้อย,3-RTSD,2527,NF47-15,5049iii.img,NF47-15.img,10,50493,107598.495405927,722999475.439159,"99.99667046790233,20.001149124673674,100.24664371061608,20.25113250548534",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50493&bbox=99.99667046790233,20.001149124673674,100.24664371061608,20.25113250548534"
