sheet_code,url
4849-I," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=526247.2492767102,2238936.3028285187,552395.8822898703,2266659.99413664"
4949-IV," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=552311.8859678393,2238995.3877608846,578503.3106696366,2266759.517773874"
4949-I," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=578377.278518491,2239093.9052390535,604611.8824667803,2266898.88381727"
5049-IV," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=604443.8039798068,2239231.863369363,630721.9782327008,2267078.103773426"
5049-I," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=630511.839703081,2239409.273558232,656833.9788189644,2267297.19244904"
4849-III," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=500182.87332116294,2211253.62782292,526330.6868831379,2238936.3028285187"
4849-II," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=526289.2166762342,2211273.0809607897,552478.8861664851,2238995.3877608846"
4949-III," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=552395.8822898703,2211331.557084498,578627.8550223897,2239093.9052390535"
4949-II," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=578503.3106696366,2211429.060900126,604777.9776021986,2239231.863369363"
5049-III," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=604611.8824667803,2211565.6006138455,630929.6379574088,2239409.273558232"
5049-II," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=630721.9782327008,2211741.187431912,657083.2201396881,2239626.1503121876"
5149-III," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=656833.9788189644,2211955.835860675,683239.108500874,2239882.5116378595"
4648-IV," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=395423.564389392,2183765.332758604,421737.9072535933,2211566.0605111215"
4748-I," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=473993.9655295396,2183591.3837630614,500182.87332116294,2211273.1959648957"
4848-IV," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=500182.8115259511,2183591.3837630614,526371.6591987701,2211273.0809607897"
4848-I," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=526330.6868831379,2183610.631242691,552560.8959991282,2211331.557084498"
4948-IV," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=552478.8861664851,2183668.49395443,578750.9092783045,2211429.060900126"
4948-I," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=578627.8550223897,2183764.976804199,604942.0864877249,2211565.6006138455"
5048-IV," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=604777.9776021986,2183900.087598003,631134.8149789777,2211741.187431912"
5048-I," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=630929.6379574088,2184073.837741933,657329.4824038164,2211955.835860675"
5148-IV," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=657083.2201396881,2184286.241742151,683526.476414176,2212209.563906572"
4548-II," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=369028.0337525849,2156235.8059001844,395423.564389392,2184074.430944107"
4648-III," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=395261.31768159266,2156102.011861374,421614.7293620758,2183900.5621495782"
4648-II," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=421493.0401893953,2156006.4351784834,447804.73395853955,2183765.332758604"
4748-III," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=447723.5922267062,2155949.067857038,473993.9655295396,2183668.7312767566"
4748-II," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=473953.36454434274,2155929.9052026127,500182.8115259511,2183610.749909673"
4848-III," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=500182.7477932525,2155929.9052026127,526412.1329245011,2183610.631242691"
4848-II," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=526371.6591987701,2155948.9455208476,552641.9103892979,2183668.49395443"
4948-III," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=552560.8959991282,2156006.1905174553,578872.4711389898,2183764.976804199"
4948-II," http://110.164.49.72:8081/geoserver/WMSDOL/wms?service=WMS&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=WMSDOL:MV_SPARCEL&styles=&height=256&width=256&transparent=false&srs=EPSG%3A24047&bbox=578750.9092783045,2156101.6448982055,605104.2059250782,2183900.087598003"
